ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
ID=0666  DataLen=8  SendType=0 data=[00 ,CA ,00 ,00 ,E9 ,56 ,00 ,B8 ] 
ID=0664  DataLen=8  SendType=0 data=[00 ,CA ,00 ,02 ,4D ,76 ,00 ,B8 ] 
